Product_key,eligible,required_material_feature_count,minimum_present_material_features,present_material_feature_count,missing_required_material_features,eligible_catalog_candidates
A520E,True,27,9,15,Nominal_grain_size_value_mm; ssa_(m2/g)_avg; average_pore_diameter_(angstrom); phpzc; pore_volume_total_value_cm3/g; pore_volume_micro_value_avg_cm3/g; pore_volume_meso_value_avg_cm3/g; element_C_value; element_N_value; element_O_value; AC_raw_material; ion_exchange_capacity_value_meq/L,63
ACF15,True,27,9,10,contains_mesoporous; contains_macroporous; contains_gel; Nominal_grain_size_value_mm; average_pore_diameter_(angstrom); AC_raw_material; ion_exchange_capacity_value_meq/L; contains_quaternary_ammonium; contains_sulfonic_acid; contains_carboxyl; contains_hydroxyl; contains_pyridinic_nitrogen; contains_amino_acid; contains_amine; contains_ester; contains_benzyl_chloride; polymer_matrix,63
ACF20,True,27,9,11,contains_mesoporous; contains_macroporous; contains_gel; average_pore_diameter_(angstrom); AC_raw_material; ion_exchange_capacity_value_meq/L; contains_quaternary_ammonium; contains_sulfonic_acid; contains_carboxyl; contains_hydroxyl; contains_pyridinic_nitrogen; contains_amino_acid; contains_amine; contains_ester; contains_benzyl_chloride; polymer_matrix,63
ACF25,True,27,9,10,contains_mesoporous; contains_macroporous; contains_gel; Nominal_grain_size_value_mm; average_pore_diameter_(angstrom); AC_raw_material; ion_exchange_capacity_value_meq/L; contains_quaternary_ammonium; contains_sulfonic_acid; contains_carboxyl; contains_hydroxyl; contains_pyridinic_nitrogen; contains_amino_acid; contains_amine; contains_ester; contains_benzyl_chloride; polymer_matrix,63
ACTICARBGS1300,True,27,9,11,contains_mesoporous; contains_macroporous; contains_gel; pore_volume_micro_value_avg_cm3/g; pore_volume_meso_value_avg_cm3/g; ion_exchange_capacity_value_meq/L; contains_quaternary_ammonium; contains_sulfonic_acid; contains_carboxyl; contains_hydroxyl; contains_pyridinic_nitrogen; contains_amino_acid; contains_amine; contains_ester; contains_benzyl_chloride; polymer_matrix,63
ACTICARBONENCL1240,True,27,9,9,average_pore_diameter_(angstrom); pore_volume_total_value_cm3/g; pore_volume_micro_value_avg_cm3/g; pore_volume_meso_value_avg_cm3/g; element_C_value; element_N_value; element_O_value; ion_exchange_capacity_value_meq/L; contains_quaternary_ammonium; contains_sulfonic_acid; contains_carboxyl; contains_hydroxyl; contains_pyridinic_nitrogen; contains_amino_acid; contains_amine; contains_ester; contains_benzyl_chloride; polymer_matrix,63
ACTITEXFC1001,True,27,9,9,contains_mesoporous; contains_macroporous; contains_gel; Nominal_grain_size_value_mm; average_pore_diameter_(angstrom); pore_volume_meso_value_avg_cm3/g; element_C_value; ion_exchange_capacity_value_meq/L; contains_quaternary_ammonium; contains_sulfonic_acid; contains_carboxyl; contains_hydroxyl; contains_pyridinic_nitrogen; contains_amino_acid; contains_amine; contains_ester; contains_benzyl_chloride; polymer_matrix,63
ACTITEXFC1501,True,27,9,9,contains_mesoporous; contains_macroporous; contains_gel; Nominal_grain_size_value_mm; average_pore_diameter_(angstrom); pore_volume_meso_value_avg_cm3/g; element_C_value; ion_exchange_capacity_value_meq/L; contains_quaternary_ammonium; contains_sulfonic_acid; contains_carboxyl; contains_hydroxyl; contains_pyridinic_nitrogen; contains_amino_acid; contains_amine; contains_ester; contains_benzyl_chloride; polymer_matrix,63
ACTITEXWKL20,True,27,9,9,contains_mesoporous; contains_macroporous; contains_gel; Nominal_grain_size_value_mm; average_pore_diameter_(angstrom); pore_volume_meso_value_avg_cm3/g; element_C_value; ion_exchange_capacity_value_meq/L; contains_quaternary_ammonium; contains_sulfonic_acid; contains_carboxyl; contains_hydroxyl; contains_pyridinic_nitrogen; contains_amino_acid; contains_amine; contains_ester; contains_benzyl_chloride; polymer_matrix,63
AMBERLITEIRA400,True,27,9,19,ssa_(m2/g)_avg; average_pore_diameter_(angstrom); phpzc; pore_volume_total_value_cm3/g; pore_volume_micro_value_avg_cm3/g; pore_volume_meso_value_avg_cm3/g; element_O_value; AC_raw_material,63
