Product_key,model_adsorbent_id,mapping_status,mapping_method
A520E,A520E,exact_normalized_key,exact_normalized_key_only
ACF15,,requires_curated_mapping,no_fuzzy_match_attempted
ACF20,ACF20,exact_normalized_key,exact_normalized_key_only
ACF25,,requires_curated_mapping,no_fuzzy_match_attempted
ACTICARBGS1300,,requires_curated_mapping,no_fuzzy_match_attempted
ACTICARBONENCL1240,,requires_curated_mapping,no_fuzzy_match_attempted
ACTITEXFC1001,,requires_curated_mapping,no_fuzzy_match_attempted
ACTITEXFC1501,,requires_curated_mapping,no_fuzzy_match_attempted
ACTITEXWKL20,,requires_curated_mapping,no_fuzzy_match_attempted
AMBERLITEIRA400,,requires_curated_mapping,no_fuzzy_match_attempted
AMBERLITEIRA410,,requires_curated_mapping,no_fuzzy_match_attempted
AMBERLITEIRA458,,requires_curated_mapping,no_fuzzy_match_attempted
AMBERLITEIRA67,,requires_curated_mapping,no_fuzzy_match_attempted
AMBERLITEIRA900,,requires_curated_mapping,no_fuzzy_match_attempted
AMBERLITEIRA910,Amberlite IRA910,exact_normalized_key,exact_normalized_key_only
AMBERLITEPSR2+,,requires_curated_mapping,no_fuzzy_match_attempted
AMBERLITEXAD2,,requires_curated_mapping,no_fuzzy_match_attempted
AMBERLITEXAD4,,requires_curated_mapping,no_fuzzy_match_attempted
AMBERLITEXAD7HP,,requires_curated_mapping,no_fuzzy_match_attempted
AMBERSEP900OH,,requires_curated_mapping,no_fuzzy_match_attempted
AQUACARB1230C,,requires_curated_mapping,no_fuzzy_match_attempted
AQUACARB1240AW,,requires_curated_mapping,no_fuzzy_match_attempted
AQUACARB1240C,,requires_curated_mapping,no_fuzzy_match_attempted
AQUANUCHAR,,requires_curated_mapping,no_fuzzy_match_attempted
AQUASORB,,requires_curated_mapping,no_fuzzy_match_attempted
AQUASORB6300,,requires_curated_mapping,no_fuzzy_match_attempted
AQUASORBCX,,requires_curated_mapping,no_fuzzy_match_attempted
AQUASORBOMNIG12X40,,requires_curated_mapping,no_fuzzy_match_attempted
AQUASORBTM5000,,requires_curated_mapping,no_fuzzy_match_attempted
BIONUCHAR,,requires_curated_mapping,no_fuzzy_match_attempted
BPL,BPL,exact_normalized_key,exact_normalized_key_only
CALGONURVMOD1,,requires_curated_mapping,no_fuzzy_match_attempted
CALRES2304,CalRes2304,exact_normalized_key,exact_normalized_key_only
CECARBONGAC1240,,requires_curated_mapping,no_fuzzy_match_attempted
D5705,,requires_curated_mapping,no_fuzzy_match_attempted
D5706,,requires_curated_mapping,no_fuzzy_match_attempted
DARCO100MESH,,requires_curated_mapping,no_fuzzy_match_attempted
DEXSORB,DEXSORB+,exact_normalized_key,exact_normalized_key_only
DEXSORB+,DEXSORB+,exact_normalized_key,exact_normalized_key_only
DEXSORBMP,,requires_curated_mapping,no_fuzzy_match_attempted
DOWEX1,,requires_curated_mapping,no_fuzzy_match_attempted
DOWEXOPTOPOREL493,,requires_curated_mapping,no_fuzzy_match_attempted
DOWEXOPTOPOREV493,,requires_curated_mapping,no_fuzzy_match_attempted
DOWEXPSR2+,,requires_curated_mapping,no_fuzzy_match_attempted
