Product_key,Name_Commercial,Adsorbent_category,Adsorbent_subcategory,AC_raw_material,AC_activation_method,Polymer_matrix,Functional_group,Pore_class,Nominal_grain_size_value_mm,SSA_(m2/g),Total_pore_volume_(cm3/g),Micro_pore_volume_(cm3/g),Meso_pore_volume_(cm3/g),Macro_pore_volume_(cm3/g),Average_pore_diameter_(Angstrom),ion_exchange_capacity_value_meq/g,ion_exchange_capacity_value_meq/L,element_C_value,element_N_value,element_O_value,pHPZC,Zeta_potential_(mV),Zeta_potential_pH,iodine_number_mg/g,adsorbent_category,adsorbent_subcategory,polymer_matrix,pore_class,particle_size_value_mm,ssa_(m2/g)_avg,average_pore_diameter_(angstrom),phpzc,porosity_total_value,porosity_micro_value_avg,porosity_meso_value_avg,porosity_macro_value_avg,pore_volume_total_value_cm3/g,pore_volume_micro_value_avg_cm3/g,pore_volume_meso_value_avg_cm3/g,pore_volume_macro_value_avg_cm3/g,zeta_potential_value,zeta_potential_pH,functional_group,contains_quaternary_ammonium,contains_sulfonic_acid,contains_carboxyl,contains_carbonyl,contains_hydroxyl,contains_lactone,contains_pyridinic_nitrogen,contains_pyrrolic_nitrogen,contains_amino_acid,contains_amine,contains_amide,contains_nitrile,contains_alkoxy,contains_glycosidic_bond,contains_ester,contains_benzyl_chloride,contains_siloxane,contains_unspecified_functional_groups,contains_microporous,contains_mesoporous,contains_macroporous,contains_gel,contains_nonporous,catalog_match_status,catalog_data_sources
A520E,A520E,Ion exchange resin,strong base anion,,,Polystyrene (PS),Quaternary ammonium,Macroporous,,,,,,,,,,,,,,,,,Ion exchange resin,strong base anion,Polystyrene (PS),Macroporous,,,,,,,,,,,,,,,Quaternary ammonium,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,
ACF15,ACF15,Activated carbon,specialty activated carbon,,,,,,,1248.0,0.84,0.25,0.18,0.4,,,,0.9291,0.0005,0.0115,7.58,,,,Activated carbon,specialty activated carbon,,,,1248.0,,7.58,,,,,0.84,0.25,0.18,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACF20,ACF20,Activated carbon,specialty activated carbon,,,,,,0.009000000000000001,2055.0,1.15,0.39,0.37,0.32,,,,0.932,0.0005,0.035,7.28,,,,Activated carbon,specialty activated carbon,,,,2055.0,,7.28,,,,,1.15,0.39,0.37,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACF25,ACF25,Activated carbon,specialty activated carbon,,,,,,,1797.0,0.83,0.23,0.37,0.21,,,,0.9347,0.0005,0.0133,7.7,,,,Activated carbon,specialty activated carbon,,,,1797.0,,7.7,,,,,0.83,0.23,0.37,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTICARBGS1300,Acticarb GS1300,Activated carbon,granular activated carbon (GAC),coal,Physical_Steam,,,,0.6–2.4,1185.0,0.53,,,,28.0,,,0.702,0.0043,0.2947,6.5,,,,Activated carbon,granular activated carbon (GAC),,,,1185.0,28.0,6.5,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matched,https://acticarb.group/products/granular-activated-carbon/gs1300/
ACTICARBONENCL1240,Acticarbone NCL 1240,Activated carbon,granular activated carbon,coconut,Physical_Steam,,,Microporous,0.035,1001.9,,,,,,,,,,,7.8,,,,Activated carbon,granular activated carbon,,Microporous,,1001.9,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,,
ACTITEXFC1001,ACTITEX FC 1001,Activated carbon,specialty activated carbon,synthetic rayon-based viscose fiber,,,,,,1400.0,0.62,0.55,,,,0.71428,,,0.6,0.039,6.5,,,,Activated carbon,specialty activated carbon,,,,1400.0,,6.5,,,,,0.62,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTITEXFC1501,ACTITEX FC 1501,Activated carbon,specialty activated carbon,synthetic rayon-based viscose fiber,,,,,,1600.0,0.74,0.6,,,,0.4288,,,0.5,0.159,7.1,,,,Activated carbon,specialty activated carbon,,,,1600.0,,7.1,,,,,0.74,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTITEXWKL20,ACTITEX WK L20,Activated carbon,specialty activated carbon,synthetic rayon-based viscose fiber,,,,,,1100.0,0.53,0.37,,,,0.9284,,,0.485,0.137,5.9,,,,Activated carbon,specialty activated carbon,,,,1100.0,,5.9,,,,,0.53,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBERLITEIRA400,Amberlite IRA 400,Ion exchange resin,strong base anion,,,Polystyrene-divinylbenzene (PS-DVB),Quaternary ammonium,Gel,0.75,,,,,,,3.8,1400.0,0.6024,0.0475,,,,,,Ion exchange resin,strong base anion,Polystyrene-divinylbenzene (PS-DVB),Gel,,,,,,,,,,,,,,,Quaternary ammonium,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,
