key,canonical
FILTRASORB F300,Filtrasorb 300
FILTRASORB® 300,Filtrasorb 300
Filtrasorb 400,Filtrasorb 400
Filtrasorb F400,Filtrasorb 400
Filtrasorb-400,Filtrasorb 400
Filtrasorb ® F400,Filtrasorb 400
Filtrosorb-400 R ©,Filtrasorb 400
Filtrasorb ® 400,Filtrasorb 400
F400,Filtrasorb 400
F400 GAC,Filtrasorb 400
Calgon F400 GAC,Filtrasorb 400
AC400,Filtrasorb 400
bituminous coal-based GAC Filtrasorb 400,Filtrasorb 400
Filtrasorb® 400-M,Filtrasorb 400M
Filtrasorb 400-M,Filtrasorb 400M
CalgonCarbon (Filtrasorb® 400-M),Filtrasorb 400M
AWAC Filtrasorb ®,Filtrasorb 400M
Calgon Filtrasorb 820,Filtrasorb 820
AquaCarb® 1230C Coconut Shell-Based Granular Activated Carbon,AquaCarb 1230C
Dow V493,Dowex optopore V493
Dow L493,Dowex optopore L493
Intraplex ®,Intraplex
A592,Purolite A592E
A592E,Purolite A592E
Purolite ® A600E,Purolite A600E
Purolite ® A520E,Purolite A520E
Purolite ® A532E,Purolite A532E
Purolite ® A520E,Purolite A520E
Purolite ® A532E,Purolite A532E
Purolite ® A600E,Purolite A600E
Purolite ® A860,Purolite A860
IRA400,Amberlite IRA 400
Amberlite IRA400,Amberlite IRA 400
Amberlite IRA-400,Amberlite IRA 400
IRA67,Amberlite IRA67
AmberliteTM IRA67,Amberlite IRA67
Amberlite ® IRA910,Amberlite IRA910
Amb XAD 4,Amberlite XAD 4
Amb XAD4,Amberlite XAD 4
DEXSORB þ ™,DEXSORB+
CDP þ,DEXSORB+
DEXSORB+ TM,DEXSORB+
FLUORO-SORB®200,Fluoro-sorb-200
modified bentonite FLUORO-SORB®200,Fluoro-sorb-200
WVB 14 /C2 35,WVB 14x35
Cal F400,Filtrasorb 400
Calgon F400,Filtrasorb 400
Calgon Filtrasorb 400,Filtrasorb 400
Filtrasorb 400 TM,Filtrasorb 400
A860,Purolite A860
AmberLite IRA67,Amberlite IRA67
PFA694E,Purofine PFA694E
Purofine® PFA694E,Purofine PFA694E
IRA910,Amberlite IRA910
DEX-SORB®+,DEXSORB+
Calgon Filtrasorb 600,Filtrasorb 600
Calgon F300,Filtrasorb 300
F-300,Filtrasorb 300
MIEX ® GOLD,MIEX GOLD
MIEX® GOLD,MIEX GOLD
MIEX®GOLD,MIEX GOLD
1240w,Norit 1240W
AquaSorb TM 6300,AquaSorb 6300
Aquasorb 6300,AquaSorb 6300
Hydraffin® 30N,Hydraffin 30N
Lewatit® TP 108,Lewatit TP108
XAD4,Amberlite XAD 4
Purolite PFA694E,Purofine PFA694E
Amberlite XAD7HP,Amberlite XAD7HP
Amberlite XAD-7HP,Amberlite XAD7HP
XAD7HP,Amberlite XAD7HP
XAD-7HP,Amberlite XAD7HP
Amberlite XAD 7,Amberlite XAD7HP
Amberlite XAD7,Amberlite XAD7HP
Amberlite XAD-7,Amberlite XAD7HP
XAD 7,Amberlite XAD7HP
XAD-7,Amberlite XAD7HP
AmberLite IRA-958,IRA958
AmberLite PSR2 Plus,Amberlite PSR2+
DOWEX OPTIPORE L493,Dowex optopore L493
DOWEX OPTIPORE™ L493,Dowex optopore L493
DOWEX OPTIPORETM L493,Dowex optopore L493
Sepra ZT-WAX,Sepra-WAX
Activated Charcoal Norit GAC 1240,Norit 1240
Norit 400,Norit GAC 400
CBC-OLC 12×30,OLC 12 x 30-CBC
CBC-OLC 12x30,OLC 12 x 30-CBC
