key,canonical
CA4,PFBA
CA5,PFPeA
CA6,PFHxA
CA7,PFHpA
CA8,PFOA
CA9,PFNA
CA10,PFDA
CA11,PFUnA
CA12,PFDoDA
CA13,PFTrDA
CA14,PFTeDA
SA3,PFPrS
SA4,PFBS
SA5,PFPeS
SA6,PFHxS
SA7,PFHpS
SA8,PFOS
SA9,PFNS
SA10,PFDS
SA11,PFUnS
SA12,PFDoS
GENX,GenX
HFPO-DA,GenX
HFPO DA,GenX
HFPO-DA (GENX),GenX
6:2 FTAB,6:2 FTSA-PrB
6:2FTAB,6:2 FTSA-PrB
PFOSA,FOSA
PFDoDA,PFDoA
PFUnDA,PFUnA
PFUdA,PFUnA
PFHA,PFHxA
PFPxA,PFHxA
PFHS,PFHxS
PFDcA,PFDA
PFOS (without P),PFOS
PFOS (with P),PFOS
L-PFHxS,PFHxS
L-MeFOSAA,N-MeFOSAA
MeFOSAA,N-MeFOSAA
L-EtFOSAA,N-EtFOSAA
EtFOSAA,N-EtFOSAA
9Cl-F53B,9Cl-PF3ONS
11Cl-F53B,11Cl-PF3ONS
F-53-B,9Cl-PF3ONS
PF4OPeA,PFMOPRA
K-PFOS,7K-PFOS
4:2 FTS,4:2 FTS
4:2_FTS,4:2 FTS
42 FTS,4:2 FTS
42FTS,4:2 FTS
6:2 FTS,6:2 FTS
6:2_FTS,6:2 FTS
6:2FTS,6:2 FTS
6 2 FTS,6:2 FTS
62FTS,6:2 FTS
6:2 FTSA,6:2 FTSA
8:2 FTS,8:2 FTS
8:2_FTS,8:2 FTS
8 2 FTS,8:2 FTS
82FTS,8:2 FTS
F-53B,9Cl-PF3ONS
F53B,9Cl-PF3ONS
PFMOPRA,PFMOPRA
PFMOPrA,PFMOPRA
U-PFOS,U-PFOS
UPFOS,U-PFOS
PFOA (Mix),PFOA
PFOS (Mix),PFOS
PF5OHxA,PFMOBA
PFECHS,PFEtCHxS
N-Ap-FHxSA,AmPr-FHxSA
N-SPAmP-FPeSA,SPrAmPr-FPeSA
N-SPAmP-FHxSA,SPrAmPr-FHxSA
N-SP-FBSA,SPr-FBSA
N-SP-FPeSA,SPr-FPeSA
N-SP-FHxSA,SPr-FHxSA
N-SPAmP-FHxSAPS,SPrAmPr-FHxSAPrS
