key,canonical
diw,ultrapure water
di water,ultrapure water
deionized water,ultrapure water
de ionized water,ultrapure water
ultrapure,ultrapure water
ultrapure water,ultrapure water
ultra pure water,ultrapure water
mq,ultrapure water
milli q,ultrapure water
milliq,ultrapure water
nanopure water,ultrapure water
nano pure water,ultrapure water
sulfuric acid solution,ultrapure water
millipore water,ultrapure water
obs solution,ultrapure water
surface water,surface water
sw,surface water
lake water,surface water
LW,surface water
middle river,surface water
river water,surface water
stream water,surface water
rw,surface water
ground water,groundwater
groundwater,groundwater
gw,groundwater
well water,groundwater
phosphate buffer,synthetic water
PB,synthetic water
NH4Cl,synthetic water
NH4NO3,synthetic water
SRNOM,synthetic water
SRFA,synthetic water
SRHA,synthetic water
SRNOM ( C 0 = 5 mg C per L),synthetic water
PLFA,synthetic water
source water,others
Simulated natural water,synthetic water
recycled ww,wastewater
recycled wastewater,wastewater
recycled waste water,wastewater
wastewater,wastewater
waste water,wastewater
ww,wastewater
vcc,wastewater
pre-coagulated water,wastewater
